dataset,gnn,best_lambda_u
amazon-computer,gat,0.1000
amazon-computer,gcn,0.6500
amazon-computer,sage,0.4000
amazon-photo,gat,0.4000
amazon-photo,gcn,0.3500
amazon-photo,sage,0.4500
amazon-ratings,gat,0.3000
amazon-ratings,gcn,0.5000
amazon-ratings,sage,0.9000
chameleon,gat,0.3000
chameleon,gcn,0.2500
chameleon,sage,0.1500
citeseer,gat,0.1000
citeseer,gcn,0.1500
citeseer,sage,0.0500
coauthor-cs,gat,0.0000
coauthor-cs,gcn,0.6000
coauthor-cs,sage,0.0500
coauthor-physics,gat,0.5000
coauthor-physics,gcn,0.2500
coauthor-physics,sage,0.2500
cora,gat,1.2500
cora,gcn,1.3500
cora,sage,0.6500
minesweeper,gat,0.0000
minesweeper,gcn,0.1000
minesweeper,sage,0.4000
pubmed,gat,1.5500
pubmed,gcn,0.3000
pubmed,sage,1.6500
roman-empire,gat,0.1500
roman-empire,gcn,0.3000
roman-empire,sage,0.3500
squirrel,gat,1.0000
squirrel,gcn,0.4500
squirrel,sage,0.7500
wikics,gat,0.9000
wikics,gcn,0.8000
wikics,sage,1.5500
